seqn,svy_day,in_weekday,drank_water,drday,if_winter,age,gender,pir
33131,2,weekend,has drank water,1,in winter,33,Female,2.25
33132,1,weekday,has drank water,6,not in winter,13,Male,1.14
33132,2,weekday,has drank water,2,not in winter,13,Male,1.14
33134,1,weekday,has drank water,6,in winter,42,Male,1.08
33134,2,weekday,has drank water,4,in winter,42,Male,1.08
33135,1,weekend,not drank water,7,in winter,16,Female,5
33135,2,weekday,has drank water,4,in winter,16,Female,5
33136,1,weekday,has drank water,6,in winter,18,Male,1.99
33136,2,,,,in winter,18,Male,1.99
33137,1,weekend,has drank water,7,in winter,7,Male,.40000001
33137,2,weekday,has drank water,4,in winter,7,Male,.40000001
33138,1,weekday,not drank water,6,in winter,0,Female,2.3299999
33138,2,weekday,not drank water,3,in winter,0,Female,2.3299999
33139,1,weekday,has drank water,6,in winter,34,Female,
33139,2,weekday,has drank water,2,in winter,34,Female,
33140,1,weekend,has drank water,7,not in winter,42,Male,.60000002
33140,2,weekday,has drank water,4,not in winter,42,Male,.60000002
33141,1,weekday,has drank water,5,in winter,13,Male,1.55
33141,2,weekday,has drank water,6,in winter,13,Male,1.55
33142,1,weekday,not drank water,6,not in winter,1,Female,2.02
33142,2,weekday,not drank water,2,not in winter,1,Female,2.02
33143,1,weekend,not drank water,1,not in winter,7,Female,3.73
33143,2,weekday,has drank water,3,not in winter,7,Female,3.73
33144,1,weekday,has drank water,2,not in winter,58,Male,5
33144,2,weekday,has drank water,4,not in winter,58,Male,5
33145,1,weekday,has drank water,5,in winter,6,Female,2.9000001
33145,2,weekend,has drank water,1,in winter,6,Female,2.9000001
33146,1,weekday,has drank water,6,not in winter,28,Female,5
33146,2,weekday,has drank water,3,not in winter,28,Female,5
33147,1,weekend,has drank water,1,in winter,4,Male,1.24
33147,2,weekday,has drank water,5,in winter,4,Male,1.24
33148,1,weekend,not drank water,7,not in winter,1,Male,1.55
33148,2,weekend,has drank water,1,not in winter,1,Male,1.55
33149,1,weekday,not drank water,2,not in winter,0,Female,5
33149,2,weekday,not drank water,6,not in winter,0,Female,5
33150,1,weekday,not drank water,4,in winter,1,Male,.99000001
33150,2,weekend,not drank water,1,in winter,1,Male,.99000001
33151,1,weekend,has drank water,1,not in winter,3,Male,1.04
33151,2,weekday,has drank water,2,not in winter,3,Male,1.04
33152,1,weekend,has drank water,1,in winter,13,Female,1.0700001
33152,2,weekday,has drank water,6,in winter,13,Female,1.0700001
33153,1,weekend,has drank water,1,in winter,82,Male,5
33153,2,weekday,has drank water,6,in winter,82,Male,5
33154,1,weekend,not drank water,7,in winter,46,Male,1.37
33154,2,weekday,not drank water,3,in winter,46,Male,1.37
33155,1,weekday,not drank water,6,not in winter,5,Male,1.24
33155,2,weekday,not drank water,2,not in winter,5,Male,1.24
33156,1,weekend,has drank water,7,not in winter,14,Male,.60000002
33156,2,weekend,has drank water,1,not in winter,14,Male,.60000002
33157,1,weekend,has drank water,7,in winter,1,Male,.93000001
33157,2,weekday,not drank water,5,in winter,1,Male,.93000001
33158,1,weekend,has drank water,1,in winter,18,Male,3.4200001
33158,2,weekday,has drank water,4,in winter,18,Male,3.4200001
33159,1,weekday,has drank water,4,in winter,1,Male,1.0700001
33159,2,weekday,has drank water,3,in winter,1,Male,1.0700001
33160,1,weekend,has drank water,1,not in winter,14,Male,2.3800001
33160,2,weekday,has drank water,3,not in winter,14,Male,2.3800001
33161,1,weekday,has drank water,6,not in winter,33,Male,1.62
33161,2,weekday,has drank water,3,not in winter,33,Male,1.62
33162,1,weekday,not drank water,6,in winter,51,Male,2.8
33162,2,weekday,has drank water,3,in winter,51,Male,2.8
33163,1,weekday,has drank water,5,in winter,21,Female,2.49
33163,2,weekday,has drank water,4,in winter,21,Female,2.49
33164,1,weekend,has drank water,1,in winter,3,Female,2.3299999
33164,2,weekday,has drank water,6,in winter,3,Female,2.3299999
33165,1,weekend,not drank water,1,in winter,18,Male,.73000002
33165,2,weekday,has drank water,4,in winter,18,Male,.73000002
33166,1,weekday,has drank water,2,not in winter,27,Male,3.01
33166,2,weekday,has drank water,3,not in winter,27,Male,3.01
33167,1,weekday,has drank water,4,not in winter,12,Female,.5
33167,2,weekend,has drank water,1,not in winter,12,Female,.5
33168,1,weekday,not drank water,5,in winter,52,Male,0
33168,2,weekend,not drank water,1,in winter,52,Male,0
33169,1,weekday,not drank water,6,in winter,20,Female,3.98
33169,2,weekday,not drank water,3,in winter,20,Female,3.98
33170,1,weekday,has drank water,2,in winter,42,Female,1.61
33170,2,weekend,not drank water,1,in winter,42,Female,1.61
33171,1,,,,not in winter,27,Female,4.52
33171,2,,,,not in winter,27,Female,4.52
33172,1,weekday,has drank water,6,not in winter,11,Male,5
33172,2,weekday,not drank water,2,not in winter,11,Male,5
33173,1,weekday,has drank water,4,in winter,9,Female,3.54
33173,2,weekend,has drank water,1,in winter,9,Female,3.54
33174,1,weekday,has drank water,3,in winter,16,Female,1.12
33174,2,weekday,has drank water,4,in winter,16,Female,1.12
33175,1,weekend,has drank water,1,in winter,13,Female,.51999998
33175,2,weekday,has drank water,2,in winter,13,Female,.51999998
33176,1,weekday,has drank water,6,in winter,14,Female,.18000001
33176,2,weekday,has drank water,6,in winter,14,Female,.18000001
33177,1,weekend,has drank water,1,not in winter,40,Female,5
33177,2,,,,not in winter,40,Female,5
33178,1,,,,in winter,45,Female,
33178,2,,,,in winter,45,Female,
33179,1,weekend,has drank water,7,not in winter,9,Female,.47
33179,2,weekday,has drank water,5,not in winter,9,Female,.47
33180,1,weekday,has drank water,5,not in winter,3,Male,1.2
33180,2,weekday,has drank water,4,not in winter,3,Male,1.2
33181,1,weekday,not drank water,3,in winter,40,Female,1.17
33181,2,weekend,not drank water,1,in winter,40,Female,1.17
33182,1,weekend,has drank water,1,not in winter,73,Male,1.1900001
33182,2,weekday,has drank water,5,not in winter,73,Male,1.1900001
33183,1,weekend,has drank water,1,in winter,26,Male,3.5899999
33183,2,weekday,has drank water,4,in winter,26,Male,3.5899999
33184,1,weekday,not drank water,4,in winter,77,Male,.38999999
33184,2,weekend,has drank water,1,in winter,77,Male,.38999999
33185,1,weekday,has drank water,6,not in winter,7,Male,3.51
33185,2,weekday,has drank water,3,not in winter,7,Male,3.51
33186,1,weekday,has drank water,6,in winter,38,Male,
33186,2,weekday,has drank water,3,in winter,38,Male,
33187,1,weekday,has drank water,6,in winter,41,Male,1.65
33187,2,weekday,has drank water,2,in winter,41,Male,1.65
33188,1,weekday,has drank water,6,not in winter,15,Female,1.99
33188,2,weekday,not drank water,2,not in winter,15,Female,1.99
33189,1,weekday,not drank water,6,not in winter,17,Female,1.11
33189,2,weekday,has drank water,3,not in winter,17,Female,1.11
33190,1,weekend,has drank water,1,not in winter,32,Male,.37
33190,2,weekday,has drank water,4,not in winter,32,Male,.37
33191,1,weekend,not drank water,7,not in winter,47,Male,.88
33191,2,,,,not in winter,47,Male,.88
33192,1,,,,not in winter,47,Female,1.2
33192,2,,,,not in winter,47,Female,1.2
33193,1,weekend,not drank water,1,in winter,18,Female,0
33193,2,,,,in winter,18,Female,0
33194,1,weekday,has drank water,3,not in winter,0,Female,1.8
33194,2,,,,not in winter,0,Female,1.8
33195,1,,,,in winter,14,Female,1.54
33195,2,,,,in winter,14,Female,1.54
33196,1,weekday,has drank water,6,in winter,28,Female,3.98
33196,2,,,,in winter,28,Female,3.98
33197,1,weekend,has drank water,1,not in winter,85,Female,5
33197,2,weekday,has drank water,2,not in winter,85,Female,5
33198,1,weekday,has drank water,3,in winter,34,Female,1.33
33198,2,weekday,has drank water,2,in winter,34,Female,1.33
33199,1,weekend,has drank water,7,not in winter,0,Female,
33199,2,weekday,has drank water,2,not in winter,0,Female,
33200,1,weekday,has drank water,6,in winter,50,Female,1.52
33200,2,weekday,has drank water,3,in winter,50,Female,1.52
33201,1,weekend,not drank water,1,not in winter,51,Female,2.71
33201,2,,,,not in winter,51,Female,2.71
33202,1,weekday,has drank water,5,in winter,43,Male,4.04
33202,2,weekend,has drank water,1,in winter,43,Male,4.04
33203,1,weekday,not drank water,4,in winter,14,Female,3.75
33203,2,weekday,has drank water,2,in winter,14,Female,3.75
33204,1,weekday,not drank water,5,in winter,0,Male,4.5
33204,2,weekday,not drank water,3,in winter,0,Male,4.5
33205,1,weekday,has drank water,6,not in winter,4,Male,4.4200001
33205,2,weekday,has drank water,2,not in winter,4,Male,4.4200001
33206,1,weekend,not drank water,1,not in winter,32,Female,1.88
33206,2,weekday,has drank water,3,not in winter,32,Female,1.88
33207,1,weekday,has drank water,3,in winter,62,Female,1.46
33207,2,weekend,has drank water,1,in winter,62,Female,1.46
33208,1,weekday,not drank water,6,in winter,6,Female,1.1900001
33208,2,weekend,has drank water,7,in winter,6,Female,1.1900001
33209,1,,,,not in winter,73,Female,1.09
33209,2,,,,not in winter,73,Female,1.09
33210,1,weekday,has drank water,6,not in winter,5,Male,2.5
33210,2,weekday,has drank water,4,not in winter,5,Male,2.5
33211,1,weekday,not drank water,6,not in winter,15,Male,5
33211,2,weekday,not drank water,4,not in winter,15,Male,5
33212,1,weekend,not drank water,7,in winter,0,Male,1.33
33212,2,weekday,not drank water,2,in winter,0,Male,1.33
33213,1,weekday,has drank water,5,in winter,50,Female,4.0799999
33213,2,weekday,has drank water,2,in winter,50,Female,4.0799999
33214,1,weekday,has drank water,4,not in winter,62,Male,5
33214,2,weekday,has drank water,2,not in winter,62,Male,5
33215,1,weekday,not drank water,6,not in winter,17,Male,
33215,2,weekday,not drank water,3,not in winter,17,Male,
33216,1,weekday,has drank water,5,in winter,11,Female,.63999999
33216,2,weekday,has drank water,3,in winter,11,Female,.63999999
33217,1,weekend,has drank water,1,in winter,24,Male,.63
33217,2,weekday,has drank water,4,in winter,24,Male,.63
33218,1,weekend,has drank water,1,in winter,2,Male,.30000001
33218,2,weekday,not drank water,2,in winter,2,Male,.30000001
33219,1,weekday,has drank water,5,in winter,17,Male,1.34
33219,2,weekend,has drank water,1,in winter,17,Male,1.34
33220,1,weekend,has drank water,1,in winter,9,Female,1
33220,2,weekday,has drank water,2,in winter,9,Female,1
33221,1,weekday,not drank water,6,in winter,40,Male,.88
33221,2,weekday,not drank water,4,in winter,40,Male,.88
33222,1,weekday,not drank water,6,not in winter,15,Male,4.27
33222,2,,,,not in winter,15,Male,4.27
33223,1,weekday,has drank water,4,in winter,45,Male,.60000002
33223,2,weekend,has drank water,1,in winter,45,Male,.60000002
33224,1,weekday,has drank water,6,not in winter,16,Male,2.5599999
33224,2,weekday,not drank water,2,not in winter,16,Male,2.5599999
33225,1,weekend,has drank water,1,in winter,23,Female,
33225,2,weekday,not drank water,6,in winter,23,Female,
33226,1,weekday,has drank water,6,in winter,12,Female,2.5599999
33226,2,weekend,has drank water,1,in winter,12,Female,2.5599999
33227,1,weekday,has drank water,5,in winter,21,Female,.40000001
33227,2,weekday,has drank water,4,in winter,21,Female,.40000001
33228,1,weekday,has drank water,5,in winter,44,Male,.60000002
33228,2,weekday,,3,in winter,44,Male,.60000002
33229,1,weekend,has drank water,1,not in winter,29,Female,1.0599999
33229,2,weekday,has drank water,2,not in winter,29,Female,1.0599999
33230,1,weekend,has drank water,7,not in winter,41,Male,3.9000001
33230,2,weekday,has drank water,4,not in winter,41,Male,3.9000001
33231,1,weekend,has drank water,1,in winter,29,Male,3.3599999
33231,2,,,,in winter,29,Male,3.3599999
33232,1,weekday,has drank water,6,in winter,31,Female,3.48
33232,2,weekday,has drank water,2,in winter,31,Female,3.48
33233,1,weekend,has drank water,1,not in winter,15,Male,.029999999
33233,2,weekday,has drank water,4,not in winter,15,Male,.029999999
33234,1,weekday,has drank water,4,in winter,5,Male,2.1300001
33234,2,weekday,has drank water,6,in winter,5,Male,2.1300001
33235,1,weekend,has drank water,7,in winter,66,Male,3.74
33235,2,weekday,has drank water,4,in winter,66,Male,3.74
33236,1,weekend,not drank water,1,not in winter,68,Female,3.1800001
33236,2,weekday,not drank water,4,not in winter,68,Female,3.1800001
33237,1,weekend,has drank water,7,not in winter,14,Female,2.21
33237,2,weekday,has drank water,3,not in winter,14,Female,2.21
33238,1,weekend,not drank water,1,in winter,18,Female,1.87
33238,2,weekday,has drank water,2,in winter,18,Female,1.87
33239,1,weekend,not drank water,1,in winter,20,Male,2.27
33239,2,weekday,has drank water,3,in winter,20,Male,2.27
33240,1,weekday,has drank water,6,in winter,46,Male,5
33240,2,weekday,has drank water,4,in winter,46,Male,5
33241,1,weekday,has drank water,5,in winter,39,Male,3.8699999
33241,2,weekday,has drank water,2,in winter,39,Male,3.8699999
33242,1,,,,not in winter,33,Male,
33242,2,,,,not in winter,33,Male,
33243,1,,,,not in winter,15,Female,1.2
33243,2,,,,not in winter,15,Female,1.2
33244,1,weekend,has drank water,1,in winter,28,Female,5
33244,2,weekday,has drank water,2,in winter,28,Female,5
33245,1,weekend,has drank water,7,not in winter,32,Female,3.75
33245,2,weekday,has drank water,3,not in winter,32,Female,3.75
33246,1,weekday,has drank water,5,not in winter,73,Female,3.4100001
33246,2,weekday,has drank water,6,not in winter,73,Female,3.4100001
33247,1,weekday,has drank water,6,not in winter,55,Female,4.52
33247,2,weekday,has drank water,2,not in winter,55,Female,4.52
33248,1,weekend,not drank water,1,in winter,0,Female,5
33248,2,weekday,not drank water,5,in winter,0,Female,5
33249,1,weekday,has drank water,4,not in winter,30,Male,
33249,2,weekend,has drank water,1,not in winter,30,Male,
33250,1,weekday,has drank water,3,in winter,1,Female,4.9699998
33250,2,weekend,has drank water,1,in winter,1,Female,4.9699998
33251,1,weekday,has drank water,4,in winter,13,Female,1.2
33251,2,weekday,has drank water,3,in winter,13,Female,1.2
33252,1,weekday,not drank water,6,not in winter,0,Female,3.8699999
33252,2,weekday,not drank water,2,not in winter,0,Female,3.8699999
33253,1,weekday,not drank water,2,in winter,14,Female,1.61
33253,2,weekday,not drank water,5,in winter,14,Female,1.61
33254,1,weekday,not drank water,5,not in winter,6,Male,5
33254,2,weekday,has drank water,6,not in winter,6,Male,5
33255,1,weekend,has drank water,1,in winter,1,Female,1.0700001
33255,2,weekday,has drank water,5,in winter,1,Female,1.0700001
33256,1,weekday,has drank water,6,not in winter,38,Male,5
33256,2,weekday,has drank water,3,not in winter,38,Male,5
33257,1,weekday,has drank water,6,not in winter,24,Male,
33257,2,weekday,has drank water,3,not in winter,24,Male,
33258,1,weekday,not drank water,6,in winter,4,Female,.49000001
33258,2,weekday,not drank water,3,in winter,4,Female,.49000001
33259,1,weekday,has drank water,5,not in winter,8,Female,1.0700001
33259,2,weekend,has drank water,1,not in winter,8,Female,1.0700001
33260,1,weekend,not drank water,1,in winter,67,Male,1.36
33260,2,,,,in winter,67,Male,1.36
33261,1,weekend,has drank water,1,not in winter,51,Male,5
33261,2,weekday,not drank water,5,not in winter,51,Male,5
33262,1,weekend,has drank water,1,not in winter,29,Female,.66000003
33262,2,weekday,has drank water,4,not in winter,29,Female,.66000003
33263,1,weekday,not drank water,3,in winter,61,Male,.63
33263,2,weekend,not drank water,1,in winter,61,Male,.63
33265,1,weekend,has drank water,1,not in winter,85,Male,4.3899999
33265,2,weekday,has drank water,4,not in winter,85,Male,4.3899999
33266,1,weekday,has drank water,5,in winter,8,Male,.77999997
33266,2,weekday,not drank water,6,in winter,8,Male,.77999997
33267,1,weekend,has drank water,1,not in winter,2,Male,1.04
33267,2,weekday,has drank water,2,not in winter,2,Male,1.04
33270,1,weekend,has drank water,7,not in winter,36,Male,1.77
33270,2,weekday,not drank water,3,not in winter,36,Male,1.77
33271,1,weekday,has drank water,2,in winter,68,Male,.91000003
33271,2,weekday,has drank water,3,in winter,68,Male,.91000003
33272,1,weekday,has drank water,3,in winter,32,Male,4.6599998
33272,2,weekend,has drank water,1,in winter,32,Male,4.6599998
33274,1,weekday,has drank water,6,in winter,53,Female,2.3
33274,2,weekday,has drank water,2,in winter,53,Female,2.3
33275,1,weekday,not drank water,6,not in winter,42,Male,3.48
33275,2,weekday,not drank water,4,not in winter,42,Male,3.48
33277,1,weekday,not drank water,5,not in winter,77,Female,1.48
33277,2,weekday,has drank water,2,not in winter,77,Female,1.48
33278,1,weekday,has drank water,6,not in winter,6,Male,1.62
33278,2,weekend,has drank water,1,not in winter,6,Male,1.62
33279,1,weekend,has drank water,7,in winter,6,Female,2
33279,2,,,,in winter,6,Female,2
33280,1,weekday,has drank water,6,in winter,35,Female,3.4300001
33280,2,weekday,has drank water,2,in winter,35,Female,3.4300001
33281,1,weekday,has drank water,6,in winter,15,Male,2.9000001
33281,2,weekday,has drank water,3,in winter,15,Male,2.9000001
33282,1,weekday,not drank water,4,not in winter,19,Female,.38999999
33282,2,weekend,not drank water,1,not in winter,19,Female,.38999999
33283,1,weekday,has drank water,6,in winter,43,Male,4.0799999
33283,2,,,,in winter,43,Male,4.0799999
33284,1,weekday,has drank water,6,in winter,53,Female,5
33284,2,weekday,has drank water,2,in winter,53,Female,5
33285,1,weekday,has drank water,3,not in winter,81,Male,3.8599999
33285,2,weekend,has drank water,1,not in winter,81,Male,3.8599999
33286,1,weekend,has drank water,7,in winter,9,Male,1.16
33286,2,weekday,not drank water,2,in winter,9,Male,1.16
33287,1,weekend,not drank water,1,not in winter,44,Female,.30000001
33287,2,weekday,not drank water,4,not in winter,44,Female,.30000001
33288,1,weekend,not drank water,1,in winter,2,Female,
33288,2,weekday,not drank water,2,in winter,2,Female,
33289,1,,,,not in winter,37,Male,2.45
33289,2,,,,not in winter,37,Male,2.45
33290,1,weekday,has drank water,3,not in winter,85,Male,1.89
33290,2,weekend,,1,not in winter,85,Male,1.89
33291,1,weekday,not drank water,2,not in winter,79,Male,1.14
33291,2,weekday,not drank water,3,not in winter,79,Male,1.14
33292,1,weekday,has drank water,4,not in winter,4,Male,.41
33292,2,weekday,has drank water,2,not in winter,4,Male,.41
33293,1,weekday,has drank water,6,in winter,1,Female,.94999999
33293,2,weekday,has drank water,2,in winter,1,Female,.94999999
33294,1,weekend,has drank water,7,not in winter,60,Female,2.49
33294,2,weekday,has drank water,2,not in winter,60,Female,2.49
33295,1,weekday,has drank water,4,in winter,10,Female,5
33295,2,weekday,has drank water,3,in winter,10,Female,5
33296,1,weekday,has drank water,6,in winter,12,Female,1.58
33296,2,weekday,not drank water,4,in winter,12,Female,1.58
33297,1,weekday,has drank water,2,not in winter,0,Female,1.0599999
33297,2,weekend,has drank water,1,not in winter,0,Female,1.0599999
33299,1,weekday,not drank water,6,not in winter,0,Male,.88999999
33299,2,weekday,not drank water,2,not in winter,0,Male,.88999999
33300,1,weekend,has drank water,1,in winter,48,Female,1.6
33300,2,weekend,has drank water,1,in winter,48,Female,1.6
33301,1,weekend,not drank water,1,not in winter,0,Female,2.1099999
33301,2,weekday,not drank water,4,not in winter,0,Female,2.1099999
33302,1,weekday,has drank water,6,in winter,56,Male,3.79
33302,2,weekday,has drank water,3,in winter,56,Male,3.79
33303,1,weekend,has drank water,7,not in winter,17,Male,
33303,2,weekend,not drank water,1,not in winter,17,Male,
33304,1,weekend,has drank water,1,not in winter,0,Male,1.45
33304,2,weekday,has drank water,4,not in winter,0,Male,1.45
33305,1,weekday,has drank water,6,in winter,19,Male,1.75
33305,2,weekday,has drank water,2,in winter,19,Male,1.75
33306,1,weekday,not drank water,6,not in winter,12,Male,1.16
33306,2,weekday,not drank water,5,not in winter,12,Male,1.16
33307,1,weekday,has drank water,6,in winter,51,Male,.050000001
33307,2,weekday,has drank water,2,in winter,51,Male,.050000001
33308,1,weekend,has drank water,1,in winter,32,Female,5
33308,2,,,,in winter,32,Female,5
33309,1,weekend,has drank water,7,not in winter,28,Female,2.4100001
33309,2,weekday,has drank water,3,not in winter,28,Female,2.4100001
33310,1,weekday,has drank water,2,in winter,1,Male,.54000002
33310,2,weekday,has drank water,5,in winter,1,Male,.54000002
33311,1,weekday,has drank water,6,not in winter,19,Female,.69
33311,2,weekday,not drank water,4,not in winter,19,Female,.69
33312,1,weekday,has drank water,2,not in winter,18,Male,.31
33312,2,weekday,has drank water,6,not in winter,18,Male,.31
33313,1,weekday,not drank water,2,in winter,3,Female,1.12
33313,2,weekend,,1,in winter,3,Female,1.12
33314,1,weekend,has drank water,1,in winter,1,Female,2.1800001
33314,2,weekday,has drank water,4,in winter,1,Female,2.1800001
33315,1,weekday,has drank water,6,in winter,12,Male,.88
33315,2,weekday,not drank water,4,in winter,12,Male,.88
33316,1,weekend,has drank water,1,in winter,74,Male,1.39
33316,2,weekday,has drank water,4,in winter,74,Male,1.39
33317,1,weekday,has drank water,3,not in winter,28,Female,5
33317,2,weekend,has drank water,1,not in winter,28,Female,5
33318,1,weekend,has drank water,7,not in winter,3,Female,3.3599999
33318,2,weekend,not drank water,1,not in winter,3,Female,3.3599999
33319,1,,,,not in winter,46,Female,1
33319,2,,,,not in winter,46,Female,1
33320,1,weekday,has drank water,5,in winter,85,Female,1.02
33320,2,weekday,has drank water,2,in winter,85,Female,1.02
33321,1,weekday,has drank water,6,in winter,63,Male,3.4100001
33321,2,weekday,has drank water,3,in winter,63,Male,3.4100001
33322,1,weekday,not drank water,5,not in winter,0,Female,3.73
33322,2,weekday,has drank water,2,not in winter,0,Female,3.73
33323,1,weekend,has drank water,7,in winter,27,Female,1.8099999
33323,2,weekday,has drank water,3,in winter,27,Female,1.8099999
33324,1,weekend,not drank water,1,in winter,70,Male,
33324,2,weekday,has drank water,4,in winter,70,Male,
33325,1,weekend,not drank water,7,in winter,14,Male,1.65
33325,2,weekend,has drank water,1,in winter,14,Male,1.65
33326,1,weekday,has drank water,4,not in winter,0,Male,2.74
33326,2,weekday,has drank water,3,not in winter,0,Male,2.74
33327,1,weekday,has drank water,2,in winter,20,Male,5
33327,2,,,,in winter,20,Male,5
33328,1,weekday,not drank water,5,in winter,52,Male,1.42
33328,2,weekend,has drank water,1,in winter,52,Male,1.42
33329,1,weekday,has drank water,4,not in winter,54,Male,1.99
33329,2,weekday,has drank water,3,not in winter,54,Male,1.99
33330,1,weekday,has drank water,6,not in winter,35,Female,1.14
33330,2,weekday,has drank water,3,not in winter,35,Female,1.14
33331,1,weekday,has drank water,5,in winter,56,Female,.64999998
33331,2,weekday,has drank water,2,in winter,56,Female,.64999998
33332,1,weekend,has drank water,1,not in winter,14,Female,4.5500002
33332,2,weekday,has drank water,4,not in winter,14,Female,4.5500002
33333,1,weekend,has drank water,7,not in winter,4,Male,.76999998
33333,2,weekday,has drank water,3,not in winter,4,Male,.76999998
33335,1,,,,not in winter,54,Male,1.85
33335,2,,,,not in winter,54,Male,1.85
33336,1,weekday,has drank water,3,in winter,0,Male,.69999999
33336,2,weekday,has drank water,2,in winter,0,Male,.69999999
33337,1,weekday,has drank water,6,not in winter,68,Female,1.51
33337,2,weekday,has drank water,2,not in winter,68,Female,1.51
33338,1,weekend,has drank water,7,not in winter,85,Female,1.95
33338,2,weekday,has drank water,4,not in winter,85,Female,1.95
33339,1,weekday,has drank water,3,not in winter,4,Female,1.03
33339,2,weekend,has drank water,1,not in winter,4,Female,1.03
33340,1,weekday,not drank water,2,in winter,2,Female,.5
33340,2,weekday,not drank water,6,in winter,2,Female,.5
33341,1,weekend,has drank water,7,not in winter,5,Male,.12
33341,2,,,,not in winter,5,Male,.12
33342,1,weekday,not drank water,4,not in winter,0,Female,.19
33342,2,,,,not in winter,0,Female,.19
33343,1,weekday,not drank water,3,not in winter,0,Female,5
33343,2,weekday,not drank water,3,not in winter,0,Female,5
33344,1,weekday,not drank water,6,not in winter,27,Male,5
33344,2,weekday,not drank water,2,not in winter,27,Male,5
33345,1,weekday,has drank water,3,in winter,46,Female,1.02
33345,2,weekday,has drank water,6,in winter,46,Female,1.02
33346,1,weekday,has drank water,5,in winter,72,Female,2.21
33346,2,weekday,has drank water,4,in winter,72,Female,2.21
33347,1,weekday,not drank water,6,in winter,45,Male,1.39
33347,2,weekday,has drank water,2,in winter,45,Male,1.39
33348,1,weekday,has drank water,6,not in winter,23,Male,.49000001
33348,2,weekday,has drank water,3,not in winter,23,Male,.49000001
33349,1,weekday,not drank water,4,in winter,19,Female,
33349,2,,,,in winter,19,Female,
33350,1,weekday,has drank water,5,in winter,2,Male,1.0700001
33350,2,weekday,has drank water,4,in winter,2,Male,1.0700001
33351,1,weekend,not drank water,7,in winter,16,Female,.75999999
33351,2,weekday,not drank water,5,in winter,16,Female,.75999999
33352,1,weekday,has drank water,6,in winter,12,Male,3.8499999
33352,2,weekday,has drank water,2,in winter,12,Male,3.8499999
33353,1,weekend,not drank water,1,not in winter,1,Male,3.3199999
33353,2,,,,not in winter,1,Male,3.3199999
33354,1,weekday,not drank water,6,in winter,0,Male,.47999999
33354,2,weekday,not drank water,4,in winter,0,Male,.47999999
33355,1,weekday,has drank water,4,in winter,14,Male,5
33355,2,weekend,not drank water,1,in winter,14,Male,5
33356,1,weekday,has drank water,2,in winter,70,Male,2.8
33356,2,weekday,has drank water,6,in winter,70,Male,2.8
33357,1,weekend,not drank water,7,in winter,45,Female,2.24
33357,2,weekday,has drank water,4,in winter,45,Female,2.24
33358,1,weekday,has drank water,2,in winter,29,Female,2.4300001
33358,2,weekday,has drank water,3,in winter,29,Female,2.4300001
33359,1,weekday,has drank water,2,in winter,23,Female,2.0699999
33359,2,weekend,has drank water,1,in winter,23,Female,2.0699999
33360,1,weekday,has drank water,5,not in winter,28,Male,2.6099999
33360,2,weekend,has drank water,1,not in winter,28,Male,2.6099999
33361,1,weekday,has drank water,6,in winter,6,Male,2.23
33361,2,weekday,has drank water,3,in winter,6,Male,2.23
33362,1,weekend,has drank water,7,in winter,56,Female,4.6799998
33362,2,weekday,has drank water,4,in winter,56,Female,4.6799998
33363,1,weekday,has drank water,6,not in winter,57,Female,5
33363,2,weekday,has drank water,3,not in winter,57,Female,5
33364,1,weekday,not drank water,6,in winter,48,Male,4.6500001
33364,2,weekday,has drank water,2,in winter,48,Male,4.6500001
33365,1,weekend,not drank water,7,in winter,59,Male,.86000001
33365,2,weekday,has drank water,4,in winter,59,Male,.86000001
33366,1,weekday,not drank water,6,not in winter,17,Female,5
33366,2,weekday,not drank water,4,not in winter,17,Female,5
33367,1,weekday,has drank water,6,in winter,14,Female,2.5599999
33367,2,weekday,not drank water,5,in winter,14,Female,2.5599999
33368,1,weekday,has drank water,6,in winter,13,Male,2.3299999
33368,2,weekday,has drank water,2,in winter,13,Male,2.3299999
33369,1,weekday,not drank water,4,not in winter,1,Male,2.5899999
33369,2,,,,not in winter,1,Male,2.5899999
33370,1,weekday,has drank water,2,not in winter,42,Female,5
33370,2,weekend,has drank water,1,not in winter,42,Female,5
33371,1,weekday,not drank water,2,not in winter,21,Female,1.0700001
33371,2,weekend,not drank water,1,not in winter,21,Female,1.0700001
33372,1,weekday,has drank water,6,not in winter,21,Female,5
33372,2,weekday,has drank water,2,not in winter,21,Female,5
33373,1,weekday,has drank water,4,not in winter,0,Female,
33373,2,weekend,not drank water,1,not in winter,0,Female,
33374,1,weekday,has drank water,6,in winter,42,Male,.81999999
33374,2,weekday,not drank water,4,in winter,42,Male,.81999999
33375,1,weekday,has drank water,6,in winter,31,Female,3.4200001
33375,2,weekday,has drank water,3,in winter,31,Female,3.4200001
33376,1,weekend,has drank water,7,not in winter,23,Female,3.4100001
33376,2,weekday,has drank water,5,not in winter,23,Female,3.4100001
33377,1,,,,in winter,51,Female,5
33377,2,,,,in winter,51,Female,5
33378,1,weekend,not drank water,7,in winter,3,Male,.23
33378,2,weekday,not drank water,3,in winter,3,Male,.23
33379,1,weekend,has drank water,7,in winter,24,Female,1.24
33379,2,weekend,has drank water,1,in winter,24,Female,1.24
33380,1,weekday,has drank water,6,in winter,12,Female,.22
33380,2,weekday,has drank water,4,in winter,12,Female,.22
33381,1,weekday,has drank water,6,not in winter,18,Female,5
