seqn,svy_day,in_weekday,drank_water,drday,if_winter,age,gender,pir
31182,1,weekend,not drank water,7,in winter,2,Female,.66000003
31182,2,weekday,has drank water,4,in winter,2,Female,.66000003
31183,1,weekday,has drank water,6,not in winter,33,Female,3.9000001
31183,2,weekday,has drank water,3,not in winter,33,Female,3.9000001
31184,1,weekend,not drank water,7,in winter,0,Male,.41
31184,2,weekday,not drank water,4,in winter,0,Male,.41
31185,1,weekday,not drank water,5,not in winter,1,Male,.25
31185,2,,,,not in winter,1,Male,.25
31186,1,weekday,has drank water,6,not in winter,46,Female,1.6799999
31186,2,weekday,has drank water,2,not in winter,46,Female,1.6799999
31187,1,weekday,has drank water,6,in winter,22,Female,4.29
31187,2,weekday,has drank water,2,in winter,22,Female,4.29
31189,1,,,,in winter,9,Female,2.5799999
31189,2,,,,in winter,9,Female,2.5799999
31190,1,weekday,not drank water,2,in winter,72,Male,
31190,2,weekend,not drank water,1,in winter,72,Male,
31191,1,,,,in winter,22,Female,.88
31191,2,,,,in winter,22,Female,.88
31192,1,weekend,has drank water,7,not in winter,60,Female,4.4899998
31192,2,weekday,has drank water,3,not in winter,60,Female,4.4899998
31193,1,weekend,has drank water,7,in winter,51,Male,1.01
31193,2,,,,in winter,51,Male,1.01
31194,1,weekend,has drank water,7,in winter,47,Female,1.02
31194,2,weekday,has drank water,2,in winter,47,Female,1.02
31195,1,weekday,has drank water,3,not in winter,73,Male,5
31195,2,weekday,has drank water,2,not in winter,73,Male,5
31196,1,weekend,has drank water,1,not in winter,12,Female,1.86
31196,2,weekday,has drank water,4,not in winter,12,Female,1.86
31197,1,weekday,has drank water,6,not in winter,0,Male,.74000001
31197,2,weekday,has drank water,4,not in winter,0,Male,.74000001
31198,1,weekday,not drank water,5,not in winter,0,Male,1.71
31198,2,weekday,not drank water,3,not in winter,0,Male,1.71
31199,1,weekday,has drank water,6,not in winter,25,Female,1
31199,2,weekday,has drank water,5,not in winter,25,Female,1
31200,1,weekend,has drank water,7,not in winter,1,Female,5
31200,2,weekday,has drank water,6,not in winter,1,Female,5
31201,1,weekday,not drank water,2,not in winter,17,Male,.15000001
31201,2,weekday,not drank water,4,not in winter,17,Male,.15000001
31202,1,weekday,has drank water,6,not in winter,1,Male,1.51
31202,2,weekend,has drank water,7,not in winter,1,Male,1.51
31203,1,weekend,has drank water,1,in winter,33,Female,.99000001
31203,2,weekday,has drank water,3,in winter,33,Female,.99000001
31204,1,weekday,has drank water,6,not in winter,15,Female,1.14
31204,2,weekend,has drank water,1,not in winter,15,Female,1.14
31205,1,weekday,has drank water,6,in winter,43,Female,5
31205,2,weekday,has drank water,2,in winter,43,Female,5
31206,1,weekday,has drank water,3,in winter,17,Female,1.03
31206,2,weekend,has drank water,1,in winter,17,Female,1.03
31207,1,weekend,not drank water,7,in winter,20,Female,.1
31207,2,weekday,not drank water,3,in winter,20,Female,.1
31208,1,weekday,has drank water,4,in winter,47,Female,5
31208,2,weekend,has drank water,1,in winter,47,Female,5
31209,1,weekend,not drank water,7,in winter,2,Female,.41999999
31209,2,weekday,has drank water,3,in winter,2,Female,.41999999
31210,1,weekday,has drank water,5,in winter,33,Male,1.04
31210,2,,,,in winter,33,Male,1.04
31211,1,weekday,has drank water,6,in winter,17,Female,5
31211,2,weekend,not drank water,1,in winter,17,Female,5
31212,1,weekday,has drank water,5,in winter,23,Female,.47999999
31212,2,,,,in winter,23,Female,.47999999
31213,1,weekday,has drank water,6,in winter,53,Female,1.05
31213,2,weekday,has drank water,3,in winter,53,Female,1.05
31214,1,weekend,has drank water,7,not in winter,46,Female,.76999998
31214,2,weekday,has drank water,4,not in winter,46,Female,.76999998
31215,1,weekend,has drank water,1,not in winter,12,Female,1.92
31215,2,weekday,has drank water,4,not in winter,12,Female,1.92
31216,1,weekend,not drank water,1,in winter,0,Male,3.0999999
31216,2,weekday,has drank water,3,in winter,0,Male,3.0999999
31217,1,weekday,not drank water,5,not in winter,1,Female,.67000002
31217,2,weekday,not drank water,4,not in winter,1,Female,.67000002
31218,1,weekend,has drank water,7,in winter,14,Female,1.8099999
31218,2,weekday,has drank water,2,in winter,14,Female,1.8099999
31219,1,weekday,has drank water,6,in winter,9,Male,2.1400001
31219,2,weekend,has drank water,1,in winter,9,Male,2.1400001
31220,1,weekday,has drank water,5,not in winter,50,Male,5
31220,2,weekday,has drank water,2,not in winter,50,Male,5
31221,1,weekend,has drank water,1,not in winter,54,Female,5
31221,2,weekday,has drank water,3,not in winter,54,Female,5
31222,1,weekend,not drank water,1,not in winter,4,Male,.81999999
31222,2,weekday,not drank water,2,not in winter,4,Male,.81999999
31223,1,weekend,not drank water,7,in winter,61,Male,1.6799999
31223,2,weekday,not drank water,2,in winter,61,Male,1.6799999
31224,1,weekday,has drank water,2,in winter,9,Male,5
31224,2,,,,in winter,9,Male,5
31225,1,weekday,has drank water,2,in winter,14,Female,2.49
31225,2,,,,in winter,14,Female,2.49
31226,1,weekday,has drank water,5,in winter,17,Female,
31226,2,,,,in winter,17,Female,
31227,1,weekend,has drank water,1,not in winter,64,Male,5
31227,2,weekday,has drank water,4,not in winter,64,Male,5
31228,1,weekday,has drank water,6,not in winter,34,Male,1.6799999
31228,2,weekend,has drank water,1,not in winter,34,Male,1.6799999
31229,1,weekday,not drank water,5,in winter,4,Male,
31229,2,weekend,has drank water,1,in winter,4,Male,
31230,1,weekday,not drank water,6,not in winter,10,Female,.55000001
31230,2,weekday,has drank water,3,not in winter,10,Female,.55000001
31231,1,weekday,has drank water,5,in winter,30,Female,4.5500002
31231,2,weekend,has drank water,1,in winter,30,Female,4.5500002
31232,1,weekday,has drank water,3,not in winter,56,Female,1.17
31232,2,weekday,has drank water,2,not in winter,56,Female,1.17
31233,1,weekday,has drank water,2,not in winter,83,Male,2.6099999
31233,2,weekend,has drank water,1,not in winter,83,Male,2.6099999
31234,1,weekday,not drank water,5,not in winter,0,Female,1.09
31234,2,weekend,not drank water,1,not in winter,0,Female,1.09
31235,1,weekend,not drank water,1,not in winter,19,Male,.37
31235,2,weekday,not drank water,3,not in winter,19,Male,.37
31236,1,weekday,not drank water,6,in winter,5,Female,3.3599999
31236,2,weekday,has drank water,2,in winter,5,Female,3.3599999
31237,1,weekday,not drank water,6,not in winter,12,Male,4.25
31237,2,weekday,has drank water,3,not in winter,12,Male,4.25
31238,1,weekday,has drank water,5,not in winter,9,Female,0
31238,2,weekend,has drank water,1,not in winter,9,Female,0
31239,1,weekend,has drank water,7,not in winter,18,Male,5
31239,2,weekday,has drank water,3,not in winter,18,Male,5
31240,1,weekday,has drank water,5,not in winter,34,Female,5
31240,2,weekend,has drank water,1,not in winter,34,Female,5
31241,1,weekday,has drank water,6,not in winter,40,Male,2.73
31241,2,weekday,has drank water,2,not in winter,40,Male,2.73
31242,1,weekday,has drank water,6,not in winter,58,Male,5
31242,2,weekday,has drank water,4,not in winter,58,Male,5
31244,1,weekday,has drank water,2,not in winter,23,Male,2.1600001
31244,2,weekday,has drank water,3,not in winter,23,Male,2.1600001
31245,1,weekday,has drank water,4,in winter,18,Female,3
31245,2,weekend,has drank water,1,in winter,18,Female,3
31246,1,weekday,has drank water,6,not in winter,17,Male,1.49
31246,2,weekday,has drank water,2,not in winter,17,Male,1.49
31247,1,weekday,has drank water,5,in winter,7,Male,.1
31247,2,weekday,has drank water,3,in winter,7,Male,.1
31248,1,weekend,not drank water,7,in winter,21,Male,.64999998
31248,2,,,,in winter,21,Male,.64999998
31249,1,weekend,not drank water,7,in winter,18,Female,.50999999
31249,2,weekday,not drank water,4,in winter,18,Female,.50999999
31250,1,weekday,not drank water,4,not in winter,10,Female,.88
31250,2,weekday,not drank water,6,not in winter,10,Female,.88
31251,1,weekend,has drank water,1,in winter,3,Female,.62
31251,2,weekday,has drank water,4,in winter,3,Female,.62
31252,1,weekday,has drank water,4,in winter,35,Male,3.6199999
31252,2,weekday,has drank water,6,in winter,35,Male,3.6199999
31254,1,weekday,has drank water,4,in winter,30,Male,0
31254,2,weekend,has drank water,1,in winter,30,Male,0
31255,1,weekend,has drank water,7,in winter,34,Female,1.86
31255,2,weekday,not drank water,5,in winter,34,Female,1.86
31256,1,weekend,not drank water,7,in winter,3,Male,1.58
31256,2,weekday,not drank water,3,in winter,3,Male,1.58
31257,1,weekend,not drank water,1,in winter,70,Male,1.21
31257,2,weekday,has drank water,4,in winter,70,Male,1.21
31258,1,weekday,has drank water,4,not in winter,20,Male,1.4299999
31258,2,weekday,not drank water,3,not in winter,20,Male,1.4299999
31259,1,weekday,not drank water,5,not in winter,35,Female,1.9299999
31259,2,weekday,has drank water,6,not in winter,35,Female,1.9299999
31260,1,weekend,not drank water,1,not in winter,5,Female,.75999999
31260,2,,,,not in winter,5,Female,.75999999
31261,1,weekend,has drank water,1,not in winter,49,Female,3.48
31261,2,weekday,has drank water,5,not in winter,49,Female,3.48
31262,1,weekday,has drank water,6,in winter,52,Male,2.4300001
31262,2,weekday,has drank water,2,in winter,52,Male,2.4300001
31263,1,weekend,has drank water,1,in winter,78,Female,1.74
31263,2,weekday,has drank water,2,in winter,78,Female,1.74
31264,1,weekend,not drank water,1,not in winter,17,Male,3.0999999
31264,2,weekday,not drank water,2,not in winter,17,Male,3.0999999
31265,1,,,,not in winter,19,Male,.16
31265,2,,,,not in winter,19,Male,.16
31266,1,weekday,has drank water,6,in winter,62,Male,2.04
31266,2,weekday,has drank water,5,in winter,62,Male,2.04
31267,1,weekday,has drank water,6,not in winter,14,Female,3.9200001
31267,2,weekday,not drank water,4,not in winter,14,Female,3.9200001
31268,1,weekday,not drank water,4,not in winter,40,Female,.38
31268,2,weekday,not drank water,6,not in winter,40,Female,.38
31269,1,weekend,has drank water,7,in winter,15,Female,2.99
31269,2,weekday,has drank water,6,in winter,15,Female,2.99
31270,1,weekend,not drank water,1,in winter,8,Female,.37
31270,2,weekday,has drank water,6,in winter,8,Female,.37
31271,1,weekend,,1,not in winter,14,Male,1.5
31271,2,,,,not in winter,14,Male,1.5
31272,1,weekday,has drank water,2,not in winter,11,Male,0
31272,2,weekday,has drank water,4,not in winter,11,Male,0
31273,1,weekday,has drank water,6,not in winter,62,Male,3.9000001
31273,2,weekday,has drank water,3,not in winter,62,Male,3.9000001
31274,1,weekday,has drank water,4,in winter,56,Male,1.88
31274,2,,,,in winter,56,Male,1.88
31275,1,weekday,not drank water,6,not in winter,13,Female,3.3
31275,2,weekday,not drank water,2,not in winter,13,Female,3.3
31276,1,weekend,has drank water,1,in winter,36,Male,5
31276,2,weekday,has drank water,4,in winter,36,Male,5
31277,1,weekend,has drank water,7,in winter,61,Female,5
31277,2,weekend,has drank water,1,in winter,61,Female,5
31278,1,weekend,not drank water,1,in winter,65,Male,4.1700001
31278,2,weekday,not drank water,3,in winter,65,Male,4.1700001
31279,1,weekday,has drank water,6,not in winter,76,Female,1.17
31279,2,weekday,has drank water,2,not in winter,76,Female,1.17
31280,1,weekday,not drank water,6,not in winter,60,Female,2.3
31280,2,weekday,not drank water,3,not in winter,60,Female,2.3
31281,1,weekday,has drank water,6,not in winter,2,Female,.81
31281,2,weekday,has drank water,4,not in winter,2,Female,.81
31283,1,weekend,has drank water,7,in winter,0,Female,.76999998
31283,2,weekday,has drank water,3,in winter,0,Female,.76999998
31284,1,weekend,not drank water,1,not in winter,80,Male,5
31284,2,weekday,not drank water,4,not in winter,80,Male,5
31285,1,weekday,has drank water,5,not in winter,57,Female,3.5699999
31285,2,weekday,has drank water,4,not in winter,57,Female,3.5699999
31286,1,weekday,has drank water,6,in winter,27,Male,.89999998
31286,2,weekday,has drank water,4,in winter,27,Male,.89999998
31287,1,weekday,not drank water,6,not in winter,2,Male,2.8900001
31287,2,,,,not in winter,2,Male,2.8900001
31288,1,weekday,has drank water,4,in winter,19,Male,.66000003
31288,2,weekend,has drank water,1,in winter,19,Male,.66000003
31289,1,weekend,has drank water,1,in winter,16,Female,1.55
31289,2,weekday,has drank water,4,in winter,16,Female,1.55
31290,1,,,,not in winter,41,Male,.81999999
31290,2,,,,not in winter,41,Male,.81999999
31291,1,weekday,has drank water,6,in winter,52,Male,4.29
31291,2,,,,in winter,52,Male,4.29
31292,1,weekday,has drank water,6,not in winter,15,Female,1.86
31292,2,weekend,not drank water,1,not in winter,15,Female,1.86
31293,1,weekday,not drank water,2,in winter,15,Male,1.61
31293,2,weekday,not drank water,5,in winter,15,Male,1.61
31294,1,weekend,has drank water,7,not in winter,73,Female,3.1199999
31294,2,,,,not in winter,73,Female,3.1199999
31295,1,weekend,has drank water,7,not in winter,11,Male,.56
31295,2,weekday,has drank water,3,not in winter,11,Male,.56
31296,1,weekday,has drank water,6,not in winter,4,Female,.95999998
31296,2,weekend,has drank water,1,not in winter,4,Female,.95999998
31297,1,weekday,has drank water,6,not in winter,85,Female,5
31297,2,weekday,has drank water,3,not in winter,85,Female,5
31298,1,weekday,has drank water,6,in winter,33,Female,2.8299999
31298,2,weekday,has drank water,3,in winter,33,Female,2.8299999
31299,1,weekday,has drank water,4,in winter,9,Male,2.0799999
31299,2,weekend,has drank water,1,in winter,9,Male,2.0799999
31300,1,weekend,not drank water,1,not in winter,18,Female,.85000002
31300,2,weekday,not drank water,2,not in winter,18,Female,.85000002
31301,1,weekday,has drank water,2,in winter,66,Male,2.0699999
31301,2,weekday,has drank water,6,in winter,66,Male,2.0699999
31302,1,weekend,has drank water,7,not in winter,24,Female,2.4000001
31302,2,weekday,has drank water,2,not in winter,24,Female,2.4000001
31303,1,weekend,has drank water,7,in winter,33,Female,1.71
31303,2,weekday,has drank water,3,in winter,33,Female,1.71
31304,1,weekend,has drank water,1,in winter,53,Male,
31304,2,weekday,has drank water,2,in winter,53,Male,
31305,1,weekend,has drank water,1,in winter,17,Male,2.78
31305,2,weekday,has drank water,4,in winter,17,Male,2.78
31306,1,weekend,not drank water,7,not in winter,0,Male,3.21
31306,2,weekday,not drank water,4,not in winter,0,Male,3.21
31307,1,weekday,not drank water,6,in winter,77,Female,4.1700001
31307,2,weekday,not drank water,3,in winter,77,Female,4.1700001
31308,1,weekday,has drank water,6,in winter,59,Male,3.6600001
31308,2,weekday,has drank water,4,in winter,59,Male,3.6600001
31309,1,weekend,has drank water,7,not in winter,60,Male,.75
31309,2,weekday,has drank water,6,not in winter,60,Male,.75
31310,1,weekend,not drank water,7,in winter,15,Female,5
31310,2,weekend,not drank water,1,in winter,15,Female,5
31311,1,weekday,has drank water,3,not in winter,71,Male,1.52
31311,2,weekday,has drank water,2,not in winter,71,Male,1.52
31312,1,weekend,has drank water,1,not in winter,10,Male,1.39
31312,2,weekday,has drank water,4,not in winter,10,Male,1.39
31313,1,weekend,has drank water,1,not in winter,12,Female,.029999999
31313,2,weekday,has drank water,4,not in winter,12,Female,.029999999
31314,1,weekend,has drank water,1,not in winter,28,Male,5
31314,2,weekday,has drank water,2,not in winter,28,Male,5
31315,1,weekday,has drank water,3,in winter,3,Male,.69999999
31315,2,weekday,has drank water,2,in winter,3,Male,.69999999
31316,1,weekday,has drank water,6,not in winter,10,Female,3.48
31316,2,weekday,has drank water,4,not in winter,10,Female,3.48
31317,1,weekday,has drank water,2,in winter,24,Male,.20999999
31317,2,weekend,not drank water,1,in winter,24,Male,.20999999
31318,1,weekday,not drank water,5,in winter,7,Male,1.01
31318,2,weekend,not drank water,1,in winter,7,Male,1.01
31319,1,weekend,not drank water,1,in winter,8,Male,1.9
31319,2,weekday,has drank water,2,in winter,8,Male,1.9
31320,1,weekday,not drank water,6,not in winter,13,Male,1.2
31320,2,weekend,not drank water,7,not in winter,13,Male,1.2
31321,1,weekday,has drank water,6,not in winter,25,Female,2.03
31321,2,weekday,has drank water,2,not in winter,25,Female,2.03
31322,1,weekday,has drank water,6,not in winter,4,Male,1.37
31322,2,weekday,has drank water,4,not in winter,4,Male,1.37
31323,1,weekend,has drank water,7,not in winter,83,Male,
31323,2,weekday,has drank water,3,not in winter,83,Male,
31324,1,weekend,has drank water,7,not in winter,47,Female,3.9000001
31324,2,weekday,has drank water,4,not in winter,47,Female,3.9000001
31325,1,weekend,has drank water,7,not in winter,27,Male,1.63
31325,2,weekend,has drank water,1,not in winter,27,Male,1.63
31326,1,weekend,not drank water,1,not in winter,3,Female,.47999999
31326,2,weekday,has drank water,3,not in winter,3,Female,.47999999
31327,1,weekend,not drank water,1,not in winter,1,Male,3.73
31327,2,weekday,not drank water,4,not in winter,1,Male,3.73
31328,1,,,,in winter,7,Male,
31328,2,,,,in winter,7,Male,
31329,1,weekend,has drank water,7,not in winter,10,Male,5
31329,2,weekday,not drank water,3,not in winter,10,Male,5
31330,1,weekday,has drank water,5,not in winter,19,Male,.68000001
31330,2,weekday,not drank water,6,not in winter,19,Male,.68000001
31331,1,weekend,has drank water,7,in winter,16,Male,1.6900001
31331,2,weekday,not drank water,3,in winter,16,Male,1.6900001
31332,1,weekday,has drank water,3,not in winter,68,Male,2.49
31332,2,weekend,has drank water,1,not in winter,68,Male,2.49
31333,1,weekday,has drank water,6,in winter,29,Female,3.1199999
31333,2,weekday,has drank water,4,in winter,29,Female,3.1199999
31334,1,weekend,has drank water,1,in winter,55,Female,.31
31334,2,weekday,has drank water,4,in winter,55,Female,.31
31335,1,weekend,not drank water,1,not in winter,0,Male,4.8200002
31335,2,weekday,not drank water,6,not in winter,0,Male,4.8200002
31336,1,weekend,has drank water,7,not in winter,23,Female,1.51
31336,2,weekend,not drank water,1,not in winter,23,Female,1.51
31337,1,weekday,not drank water,6,not in winter,54,Male,5
31337,2,weekday,has drank water,4,not in winter,54,Male,5
31338,1,weekend,,7,not in winter,2,Female,.56
31338,2,weekday,,4,not in winter,2,Female,.56
31339,1,weekday,has drank water,6,in winter,85,Female,4.46
31339,2,weekday,has drank water,2,in winter,85,Female,4.46
31340,1,weekday,not drank water,5,not in winter,0,Male,4.25
31340,2,weekday,not drank water,2,not in winter,0,Male,4.25
31341,1,weekday,not drank water,2,not in winter,16,Female,2.3299999
31341,2,weekday,not drank water,3,not in winter,16,Female,2.3299999
31342,1,weekday,not drank water,5,in winter,11,Male,4.04
31342,2,weekend,has drank water,1,in winter,11,Male,4.04
31343,1,weekend,has drank water,1,not in winter,61,Female,5
31343,2,weekday,has drank water,3,not in winter,61,Female,5
31344,1,weekday,has drank water,6,not in winter,55,Female,5
31344,2,weekday,has drank water,3,not in winter,55,Female,5
31345,1,weekday,has drank water,4,not in winter,67,Female,2.5
31345,2,weekend,has drank water,1,not in winter,67,Female,2.5
31346,1,weekday,has drank water,5,not in winter,7,Male,1.16
31346,2,weekend,not drank water,1,not in winter,7,Male,1.16
31347,1,weekend,has drank water,7,not in winter,16,Female,3.0999999
31347,2,,,,not in winter,16,Female,3.0999999
31348,1,weekday,not drank water,6,in winter,62,Male,5
31348,2,weekday,has drank water,4,in winter,62,Male,5
31349,1,weekday,has drank water,6,in winter,13,Female,3
31349,2,weekday,has drank water,6,in winter,13,Female,3
31350,1,weekday,not drank water,5,not in winter,27,Female,1.9
31350,2,weekday,not drank water,3,not in winter,27,Female,1.9
31351,1,weekday,has drank water,6,not in winter,6,Male,3.48
31351,2,weekday,has drank water,4,not in winter,6,Male,3.48
31352,1,weekday,not drank water,6,in winter,15,Female,
31352,2,,,,in winter,15,Female,
31353,1,weekday,has drank water,2,not in winter,53,Male,1.49
31353,2,weekend,has drank water,1,not in winter,53,Male,1.49
31354,1,weekday,has drank water,6,not in winter,9,Male,4.25
31354,2,,,,not in winter,9,Male,4.25
31358,1,weekend,has drank water,1,in winter,62,Female,.72000003
31358,2,weekday,has drank water,2,in winter,62,Female,.72000003
31359,1,weekday,has drank water,4,not in winter,3,Female,1.2
31359,2,weekend,has drank water,1,not in winter,3,Female,1.2
31360,1,weekday,has drank water,6,in winter,13,Female,5
31360,2,weekday,has drank water,3,in winter,13,Female,5
31361,1,weekend,has drank water,1,in winter,30,Female,1.1900001
31361,2,weekday,has drank water,3,in winter,30,Female,1.1900001
31362,1,weekday,has drank water,5,in winter,14,Male,1.28
31362,2,weekday,not drank water,2,in winter,14,Male,1.28
31363,1,,,,not in winter,28,Male,1.86
31363,2,,,,not in winter,28,Male,1.86
31364,1,weekend,has drank water,1,in winter,15,Male,5
31364,2,weekday,has drank water,2,in winter,15,Male,5
31365,1,weekend,has drank water,7,not in winter,16,Male,3.21
31365,2,,,,not in winter,16,Male,3.21
31366,1,,,,in winter,0,Male,
31366,2,,,,in winter,0,Male,
31367,1,weekday,has drank water,2,not in winter,85,Female,2.2
31367,2,weekday,has drank water,4,not in winter,85,Female,2.2
31369,1,weekend,not drank water,1,in winter,0,Female,2.5
31369,2,weekday,has drank water,4,in winter,0,Female,2.5
31370,1,weekday,not drank water,6,in winter,19,Female,.89999998
31370,2,weekday,has drank water,2,in winter,19,Female,.89999998
31371,1,weekday,not drank water,6,not in winter,16,Male,3.73
31371,2,weekday,has drank water,3,not in winter,16,Male,3.73
31372,1,weekday,has drank water,5,in winter,48,Female,3.6600001
31372,2,weekend,has drank water,1,in winter,48,Female,3.6600001
31373,1,weekday,not drank water,6,not in winter,16,Male,3.9000001
31373,2,weekday,not drank water,2,not in winter,16,Male,3.9000001
31374,1,weekend,not drank water,7,in winter,4,Female,.23
31374,2,weekday,not drank water,3,in winter,4,Female,.23
31375,1,weekday,not drank water,6,not in winter,9,Male,4.25
31375,2,weekday,has drank water,3,not in winter,9,Male,4.25
31376,1,weekend,not drank water,7,in winter,8,Male,3.5
